Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
01-JAN-2024,20MICRONS,176.50,176.25,0.0014,0.0301,0.0300,0.5731
01-JAN-2024,21STCENMGM,32.17,32.95,-0.0240,0.0166,0.0167,0.3191
01-JAN-2024,360ONE,703.05,709.85,-0.0096,0.0208,0.0208,0.3974
01-JAN-2024,3IINFOLTD,52.51,48.98,0.0696,0.0299,0.0302,0.5770
01-JAN-2024,3MINDIA,36659.25,37305.25,-0.0175,0.0198,0.0198,0.3783
01-JAN-2024,3PLAND,27.16,26.92,0.0089,0.0343,0.0342,0.6534
01-JAN-2024,500009,39.92,38.02,0.0488,0.0294,0.0296,0.5655
01-JAN-2024,500012,82.63,81.51,0.0136,0.0273,0.0273,0.5216
01-JAN-2024,500014,7.19,6.69,0.0721,0.0326,0.0329,0.6286
01-JAN-2024,500016,15.83,16.14,-0.0194,0.0346,0.0345,0.6591
01-JAN-2024,500028,15.27,14.61,0.0442,0.0282,0.0283,0.5407
01-JAN-2024,500033,3684.20,3621.00,0.0173,0.0279,0.0279,0.5330
01-JAN-2024,500058,10.58,10.60,-0.0019,0.0247,0.0246,0.4700
01-JAN-2024,500068,16000.00,15805.00,0.0123,0.0198,0.0198,0.3783
01-JAN-2024,500069,393.45,389.85,0.0092,0.0295,0.0295,0.5636
01-JAN-2024,500123,8532.45,8493.80,0.0045,0.0186,0.0186,0.3554
01-JAN-2024,500142,7.88,7.51,0.0481,0.0481,0.0481,0.9189
01-JAN-2024,500143,107.60,102.69,0.0467,0.0373,0.0374,0.7145
01-JAN-2024,500147,3086.25,3066.75,0.0063,0.0305,0.0305,0.5827
01-JAN-2024,500159,116.60,114.35,0.0195,0.0261,0.0260,0.4967
01-JAN-2024,500166,197.00,196.95,0.0003,0.0190,0.0190,0.3630
01-JAN-2024,500168,1323.90,1312.60,0.0086,0.0140,0.0140,0.2675
01-JAN-2024,500170,49.87,49.38,0.0099,0.0381,0.0380,0.7260
01-JAN-2024,500192,2.87,2.94,-0.0241,0.0302,0.0302,0.5770
01-JAN-2024,500202,11.70,11.75,-0.0043,0.0337,0.0336,0.6419
01-JAN-2024,500206,40.86,41.69,-0.0201,0.0469,0.0468,0.8941
01-JAN-2024,500213,477.30,467.15,0.0215,0.0291,0.0291,0.5560
01-JAN-2024,500223,2.84,2.71,0.0469,0.0366,0.0367,0.7012
01-JAN-2024,500236,1.72,1.64,0.0476,0.0346,0.0347,0.6629
01-JAN-2024,500239,34.01,33.61,0.0118,0.0301,0.0300,0.5731
01-JAN-2024,500240,138.40,136.55,0.0135,0.0260,0.0260,0.4967
01-JAN-2024,500245,549.60,554.00,-0.0080,0.0228,0.0228,0.4356
01-JAN-2024,500246,128.70,131.35,-0.0204,0.0357,0.0356,0.6801
01-JAN-2024,500248,5.76,5.76,0.0000,0.0386,0.0385,0.7355
01-JAN-2024,500264,140.55,138.60,0.0140,0.0334,0.0334,0.6381
01-JAN-2024,500267,255.85,257.15,-0.0051,0.0293,0.0292,0.5579
01-JAN-2024,500270,199.15,196.60,0.0129,0.0303,0.0302,0.5770
01-JAN-2024,500277,8.74,8.33,0.0480,0.0335,0.0335,0.6400
01-JAN-2024,500285,60.64,60.05,0.0098,0.0382,0.0381,0.7279
01-JAN-2024,500298,1025.25,1021.90,0.0033,0.0342,0.0341,0.6515
01-JAN-2024,500306,119.00,120.23,-0.0103,0.0325,0.0324,0.6190
01-JAN-2024,500307,408.95,411.95,-0.0073,0.0161,0.0160,0.3057
01-JAN-2024,500319,81.50,79.71,0.0222,0.0314,0.0314,0.5999
01-JAN-2024,500322,83.43,81.80,0.0197,0.0368,0.0367,0.7012
01-JAN-2024,500346,47.01,45.26,0.0379,0.0309,0.0310,0.5923
01-JAN-2024,500357,21.65,22.64,-0.0447,0.0338,0.0339,0.6477
01-JAN-2024,500358,5.80,5.53,0.0477,0.0384,0.0385,0.7355
01-JAN-2024,500360,75.70,78.76,-0.0396,0.0358,0.0358,0.6840
01-JAN-2024,500365,39.90,39.39,0.0129,0.0287,0.0286,0.5464
01-JAN-2024,500367,81.57,80.80,0.0095,0.0221,0.0220,0.4203
01-JAN-2024,500370,59.44,58.25,0.0202,0.0397,0.0397,0.7585
01-JAN-2024,500388,38.15,40.03,-0.0481,0.0303,0.0304,0.5808
01-JAN-2024,500414,174.50,166.40,0.0475,0.0279,0.0280,0.5349
01-JAN-2024,500422,27.17,26.70,0.0174,0.0353,0.0352,0.6725
01-JAN-2024,500426,2.18,2.17,0.0046,0.0367,0.0366,0.6992
01-JAN-2024,500449,62.43,57.09,0.0894,0.0352,0.0357,0.6820
01-JAN-2024,500450,985.80,1024.85,-0.0388,0.0276,0.0276,0.5273
01-JAN-2024,500458,8.09,7.71,0.0481,0.0295,0.0296,0.5655
01-JAN-2024,500672,775.55,773.25,0.0030,0.0192,0.0192,0.3668
01-JAN-2024,501110,7.15,7.15,0.0000,0.0021,0.0021,0.0401
01-JAN-2024,501111,11.02,11.02,0.0000,0.0018,0.0018,0.0344
01-JAN-2024,501144,13.35,13.35,0.0000,0.0011,0.0011,0.0210
01-JAN-2024,501148,403.15,395.25,0.0198,0.0154,0.0155,0.2961
01-JAN-2024,501151,633.25,633.25,0.0000,0.0126,0.0126,0.2407
01-JAN-2024,501261,294.00,294.00,0.0000,0.0020,0.0020,0.0382
01-JAN-2024,501270,1.34,1.34,0.0000,0.0030,0.0030,0.0573
01-JAN-2024,501298,4365.55,4337.40,0.0065,0.0223,0.0222,0.4241
01-JAN-2024,501311,7.00,7.09,-0.0128,0.0274,0.0273,0.5216
01-JAN-2024,501314,1.50,1.42,0.0548,0.0686,0.0686,1.3106
01-JAN-2024,501351,105.00,105.00,0.0000,0.0099,0.0099,0.1891
01-JAN-2024,501370,200.25,200.25,0.0000,0.0387,0.0386,0.7375
01-JAN-2024,501386,10.44,10.44,0.0000,0.0298,0.0298,0.5693
01-JAN-2024,501391,536.90,536.15,0.0014,0.0392,0.0391,0.7470
01-JAN-2024,501421,539.00,528.45,0.0198,0.0317,0.0317,0.6056
01-JAN-2024,501430,1276.00,1298.80,-0.0177,0.0279,0.0278,0.5311
01-JAN-2024,501477,199.35,209.75,-0.0509,0.0327,0.0328,0.6266
01-JAN-2024,501622,39.00,38.00,0.0260,0.0293,0.0293,0.5598
01-JAN-2024,501630,23.32,23.32,0.0000,0.0060,0.0060,0.1146
01-JAN-2024,501700,17.30,17.56,-0.0149,0.0345,0.0344,0.6572
01-JAN-2024,501833,14.76,14.27,0.0338,0.0292,0.0293,0.5598
01-JAN-2024,501848,55.89,58.83,-0.0513,0.0364,0.0365,0.6973
01-JAN-2024,501945,1.95,1.92,0.0155,0.0000,0.0011,0.0210
