Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
10-APR-2024,20MICRONS,155.35,153.45,0.0123,0.0295,0.0295,0.5636
10-APR-2024,21STCENMGM,49.95,48.75,0.0243,0.0185,0.0185,0.3534
10-APR-2024,360ONE,735.80,719.25,0.0227,0.0210,0.0210,0.4012
10-APR-2024,3IINFOLTD,42.35,42.25,0.0024,0.0330,0.0329,0.6286
10-APR-2024,3MINDIA,29852.20,30055.50,-0.0068,0.0188,0.0188,0.3592
10-APR-2024,3PLAND,32.85,33.70,-0.0255,0.0340,0.0340,0.6496
10-APR-2024,500009,50.56,51.17,-0.0120,0.0353,0.0353,0.6744
10-APR-2024,500012,93.77,92.20,0.0169,0.0301,0.0301,0.5751
10-APR-2024,500014,7.78,7.74,0.0052,0.0382,0.0381,0.7279
10-APR-2024,500016,12.78,12.29,0.0391,0.0373,0.0373,0.7126
10-APR-2024,500028,19.91,20.13,-0.0110,0.0304,0.0303,0.5789
10-APR-2024,500058,16.58,16.91,-0.0197,0.0293,0.0293,0.5598
10-APR-2024,500068,13964.00,13974.70,-0.0008,0.0180,0.0180,0.3439
10-APR-2024,500069,349.00,349.00,0.0000,0.0299,0.0298,0.5693
10-APR-2024,500123,8761.10,8729.05,0.0037,0.0182,0.0181,0.3458
10-APR-2024,500142,6.49,6.50,-0.0015,0.0452,0.0451,0.8616
10-APR-2024,500143,144.10,147.00,-0.0199,0.0353,0.0352,0.6725
10-APR-2024,500147,3362.40,3381.60,-0.0057,0.0295,0.0294,0.5617
10-APR-2024,500159,143.55,142.80,0.0052,0.0277,0.0276,0.5273
10-APR-2024,500166,174.10,173.45,0.0037,0.0203,0.0202,0.3859
10-APR-2024,500168,1180.55,1176.80,0.0032,0.0142,0.0142,0.2713
10-APR-2024,500170,35.22,35.93,-0.0200,0.0365,0.0364,0.6954
