Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
05-JAN-2024,20MICRONS,175.20,175.70,-0.0028,0.0301,0.0300,0.5731
05-JAN-2024,21STCENMGM,31.05,30.31,0.0241,0.0167,0.0168,0.3210
05-JAN-2024,360ONE,662.40,653.85,0.0130,0.0209,0.0209,0.3993
05-JAN-2024,3IINFOLTD,53.65,55.14,-0.0274,0.0305,0.0305,0.5827
05-JAN-2024,3MINDIA,34700.15,34319.50,0.0110,0.0199,0.0199,0.3802
05-JAN-2024,3PLAND,27.91,27.77,0.0050,0.0340,0.0339,0.6477
05-JAN-2024,500009,42.31,42.51,-0.0047,0.0299,0.0298,0.5693
05-JAN-2024,500012,93.68,94.12,-0.0047,0.0278,0.0277,0.5292
05-JAN-2024,500014,7.68,8.00,-0.0408,0.0334,0.0335,0.6400
05-JAN-2024,500016,15.84,15.34,0.0321,0.0344,0.0343,0.6553
05-JAN-2024,500028,15.99,15.72,0.0170,0.0281,0.0281,0.5368
05-JAN-2024,500033,3603.55,3664.35,-0.0167,0.0277,0.0277,0.5292
05-JAN-2024,500058,10.64,10.45,0.0180,0.0245,0.0244,0.4662
05-JAN-2024,500068,15591.90,15783.90,-0.0122,0.0197,0.0197,0.3764
05-JAN-2024,500069,390.65,399.10,-0.0214,0.0293,0.0293,0.5598
05-JAN-2024,500123,8537.60,8435.35,0.0120,0.0185,0.0185,0.3534
05-JAN-2024,500142,7.86,7.74,0.0154,0.0477,0.0476,0.9094
05-JAN-2024,500143,103.70,104.20,-0.0048,0.0372,0.0371,0.7088
05-JAN-2024,500147,2976.80,3002.25,-0.0085,0.0303,0.0302,0.5770
05-JAN-2024,500159,151.90,147.65,0.0284,0.0278,0.0278,0.5311
05-JAN-2024,500166,196.90,196.25,0.0033,0.0188,0.0188,0.3592
05-JAN-2024,500168,1326.75,1325.95,0.0006,0.0139,0.0139,0.2656
05-JAN-2024,500170,54.89,56.22,-0.0239,0.0380,0.0379,0.7241
05-JAN-2024,500192,3.22,3.07,0.0477,0.0304,0.0305,0.5827
05-JAN-2024,500202,12.03,11.52,0.0433,0.0337,0.0337,0.6438
05-JAN-2024,500206,38.71,39.50,-0.0202,0.0465,0.0464,0.8865
05-JAN-2024,500213,579.30,546.50,0.0583,0.0294,0.0296,0.5655
05-JAN-2024,500223,3.20,3.36,-0.0488,0.0376,0.0377,0.7203
05-JAN-2024,500239,36.01,37.12,-0.0304,0.0304,0.0304,0.5808
05-JAN-2024,500240,136.65,138.00,-0.0098,0.0258,0.0257,0.4910
05-JAN-2024,500245,541.10,538.85,0.0042,0.0226,0.0226,0.4318
05-JAN-2024,500246,147.70,140.70,0.0486,0.0357,0.0358,0.6840
