Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
12-JAN-2021,20MICRONS,39.90,39.85,0.0013,0.0315,0.0315,0.6018
12-JAN-2021,21STCENMGM,10.80,10.90,-0.0092,0.0224,0.0224,0.4280
12-JAN-2021,3IINFOTECH,9.02,9.07,-0.0055,0.0404,0.0403,0.7699
12-JAN-2021,3MINDIA,21589.30,21727.05,-0.0064,0.0213,0.0213,0.4069
12-JAN-2021,3PLAND,10.34,10.55,-0.0201,0.0673,0.0671,1.2819
12-JAN-2021,500009,22.70,22.90,-0.0088,0.0381,0.0380,0.7260
12-JAN-2021,500012,57.20,59.45,-0.0386,0.0354,0.0354,0.6763
12-JAN-2021,500014,2.81,2.68,0.0474,0.0482,0.0482,0.9209
12-JAN-2021,500016,6.60,6.89,-0.0430,0.0352,0.0352,0.6725
12-JAN-2021,500028,6.46,6.80,-0.0513,0.0358,0.0359,0.6859
12-JAN-2021,500068,4146.00,4134.40,0.0028,0.0260,0.0260,0.4967
12-JAN-2021,500069,103.35,102.90,0.0044,0.0343,0.0343,0.6553
12-JAN-2021,500120,381.90,382.55,-0.0017,0.0390,0.0389,0.7432
12-JAN-2021,500123,2933.75,2965.10,-0.0106,0.0356,0.0355,0.6782
12-JAN-2021,500142,1.22,1.17,0.0418,0.0268,0.0269,0.5139
12-JAN-2021,500143,21.35,20.35,0.0480,0.0252,0.0254,0.4853
12-JAN-2021,500147,828.00,847.90,-0.0237,0.0353,0.0353,0.6744
12-JAN-2021,500153,59.50,59.80,-0.0050,0.0319,0.0319,0.6094
12-JAN-2021,500159,57.55,59.25,-0.0291,0.0418,0.0417,0.7967
12-JAN-2021,500166,265.70,262.80,0.0110,0.0306,0.0305,0.5827
12-JAN-2021,500192,2.16,2.25,-0.0408,0.0311,0.0311,0.5942
12-JAN-2021,500202,10.01,10.01,0.0000,0.0255,0.0254,0.4853
12-JAN-2021,500206,7.59,7.23,0.0486,0.0243,0.0245,0.4681
12-JAN-2021,500211,10.34,10.32,0.0019,0.0383,0.0382,0.7298
12-JAN-2021,500212,26.85,25.60,0.0477,0.0227,0.0229,0.4375
12-JAN-2021,500213,63.65,62.50,0.0182,0.0335,0.0335,0.6400
12-JAN-2021,500214,1107.45,1036.15,0.0665,0.0280,0.0284,0.5426
12-JAN-2021,500220,46.25,47.00,-0.0161,0.0382,0.0381,0.7279
12-JAN-2021,500223,0.83,0.85,-0.0238,0.0372,0.0371,0.7088
12-JAN-2021,500236,0.60,0.58,0.0339,0.0235,0.0236,0.4509
12-JAN-2021,500239,28.15,27.90,0.0089,0.0340,0.0339,0.6477
12-JAN-2021,500240,29.65,29.00,0.0222,0.0354,0.0354,0.6763
12-JAN-2021,500246,28.00,28.50,-0.0177,0.0307,0.0307,0.5865
12-JAN-2021,500248,3.93,3.75,0.0469,0.0923,0.0921,1.7596
12-JAN-2021,500264,115.10,119.00,-0.0333,0.0353,0.0353,0.6744
12-JAN-2021,500267,118.55,116.55,0.0170,0.0367,0.0367,0.7012
12-JAN-2021,500274,7.70,7.70,0.0000,0.0567,0.0566,1.0813
