Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
02-MAR-2021,20MICRONS,36.95,37.35,-0.0108,0.0300,0.0299,0.5712
02-MAR-2021,21STCENMGM,12.10,12.30,-0.0164,0.0220,0.0220,0.4203
02-MAR-2021,3IINFOTECH,6.75,6.45,0.0455,0.0400,0.0400,0.7642
02-MAR-2021,3MINDIA,25060.30,24147.00,0.0371,0.0218,0.0219,0.4184
02-MAR-2021,3PLAND,9.55,9.55,0.0000,0.0626,0.0625,1.1941
02-MAR-2021,500009,19.85,20.35,-0.0249,0.0366,0.0366,0.6992
02-MAR-2021,500012,69.10,65.85,0.0482,0.0355,0.0356,0.6801
02-MAR-2021,500014,1.85,1.77,0.0442,0.0472,0.0472,0.9018
02-MAR-2021,500016,6.38,6.30,0.0126,0.0353,0.0352,0.6725
02-MAR-2021,500028,4.58,4.37,0.0469,0.0351,0.0352,0.6725
02-MAR-2021,500068,4854.80,4536.85,0.0677,0.0256,0.0260,0.4967
02-MAR-2021,500069,110.10,107.25,0.0262,0.0336,0.0336,0.6419
02-MAR-2021,500120,307.85,297.15,0.0354,0.0379,0.0379,0.7241
02-MAR-2021,500123,3800.40,3344.85,0.1277,0.0349,0.0360,0.6878
02-MAR-2021,500143,29.05,27.75,0.0458,0.0276,0.0278,0.5311
02-MAR-2021,500147,794.00,792.00,0.0025,0.0334,0.0333,0.6362
02-MAR-2021,500153,72.80,76.40,-0.0483,0.0323,0.0324,0.6190
02-MAR-2021,500159,54.05,52.00,0.0387,0.0400,0.0400,0.7642
02-MAR-2021,500166,225.55,225.45,0.0004,0.0302,0.0301,0.5751
02-MAR-2021,500192,1.76,1.81,-0.0280,0.0316,0.0316,0.6037
02-MAR-2021,500202,11.07,11.07,0.0000,0.0262,0.0262,0.5006
02-MAR-2021,500206,9.82,9.36,0.0480,0.0254,0.0256,0.4891
02-MAR-2021,500211,8.15,8.14,0.0012,0.0361,0.0360,0.6878
02-MAR-2021,500212,29.40,28.00,0.0488,0.0255,0.0256,0.4891
02-MAR-2021,500213,53.50,53.85,-0.0065,0.0317,0.0316,0.6037
02-MAR-2021,500214,1403.20,1227.20,0.1340,0.0285,0.0300,0.5731
02-MAR-2021,500220,55.00,53.00,0.0370,0.0379,0.0379,0.7241
02-MAR-2021,500223,0.96,0.95,0.0105,0.0365,0.0364,0.6954
02-MAR-2021,500236,1.20,1.22,-0.0165,0.0244,0.0244,0.4662
02-MAR-2021,500239,32.30,28.85,0.1130,0.0350,0.0358,0.6840
02-MAR-2021,500240,44.30,43.95,0.0079,0.0349,0.0348,0.6649
02-MAR-2021,500246,33.25,33.40,-0.0045,0.0321,0.0320,0.6114
02-MAR-2021,500248,3.64,3.64,0.0000,0.0852,0.0849,1.6220
02-MAR-2021,500264,93.70,93.05,0.0070,0.0337,0.0336,0.6419
02-MAR-2021,500267,116.10,114.10,0.0174,0.0348,0.0348,0.6649
02-MAR-2021,500274,7.25,7.25,0.0000,0.0521,0.0520,0.9935
02-MAR-2021,500277,2.21,2.11,0.0463,0.0148,0.0151,0.2885
02-MAR-2021,500284,30.80,29.45,0.0448,0.0338,0.0339,0.6477
02-MAR-2021,500298,1934.85,1838.60,0.0510,0.0326,0.0327,0.6247
02-MAR-2021,500306,26.35,25.85,0.0192,0.0457,0.0456,0.8712
02-MAR-2021,500307,275.45,278.65,-0.0116,0.0193,0.0192,0.3668
02-MAR-2021,500319,23.85,23.45,0.0169,0.0368,0.0367,0.7012
02-MAR-2021,500333,357.30,348.85,0.0239,0.0368,0.0367,0.7012
02-MAR-2021,500346,22.50,22.90,-0.0176,0.0405,0.0404,0.7718
02-MAR-2021,500357,14.58,14.30,0.0194,0.0345,0.0345,0.6591
