Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
23-AUG-2021,20MICRONS,49.45,52.85,-0.0665,0.0339,0.0342,0.6534
23-AUG-2021,21STCENMGM,29.95,29.45,0.0168,0.0210,0.0210,0.4012
23-AUG-2021,3IINFOTECH,7.00,7.30,-0.0420,0.0369,0.0370,0.7069
23-AUG-2021,3MINDIA,22798.65,22840.80,-0.0018,0.0205,0.0204,0.3897
23-AUG-2021,3PLAND,13.25,13.90,-0.0479,0.0538,0.0538,1.0278
23-AUG-2021,500009,28.75,29.85,-0.0375,0.0412,0.0411,0.7852
23-AUG-2021,500012,142.40,149.85,-0.0510,0.0360,0.0361,0.6897
23-AUG-2021,500014,2.81,2.93,-0.0418,0.0439,0.0439,0.8387
23-AUG-2021,500016,12.10,12.50,-0.0325,0.0517,0.0516,0.9858
23-AUG-2021,500028,9.35,9.63,-0.0295,0.0339,0.0339,0.6477
23-AUG-2021,500058,9.93,9.46,0.0485,0.0326,0.0327,0.6247
23-AUG-2021,500068,5480.00,5631.95,-0.0274,0.0259,0.0259,0.4948
23-AUG-2021,500069,195.75,199.65,-0.0197,0.0301,0.0300,0.5731
23-AUG-2021,500120,256.40,261.25,-0.0187,0.0364,0.0363,0.6935
23-AUG-2021,500123,3699.25,3709.60,-0.0028,0.0294,0.0293,0.5598
23-AUG-2021,500142,2.01,2.01,0.0000,0.0243,0.0242,0.4623
23-AUG-2021,500143,61.45,64.65,-0.0508,0.0345,0.0346,0.6610
23-AUG-2021,500147,983.50,974.05,0.0097,0.0334,0.0334,0.6381
23-AUG-2021,500153,70.10,70.60,-0.0071,0.0316,0.0315,0.6018
23-AUG-2021,500159,74.95,77.20,-0.0296,0.0408,0.0408,0.7795
23-AUG-2021,500166,227.85,238.60,-0.0461,0.0302,0.0303,0.5789
23-AUG-2021,500170,15.65,16.45,-0.0499,0.0404,0.0405,0.7738
23-AUG-2021,500192,1.82,1.91,-0.0483,0.0337,0.0338,0.6457
23-AUG-2021,500202,8.48,8.48,0.0000,0.0307,0.0306,0.5846
23-AUG-2021,500206,25.00,26.30,-0.0507,0.0344,0.0345,0.6591
23-AUG-2021,500211,6.80,7.04,-0.0347,0.0408,0.0408,0.7795
23-AUG-2021,500212,66.10,69.55,-0.0509,0.0304,0.0305,0.5827
23-AUG-2021,500213,69.60,72.40,-0.0394,0.0343,0.0343,0.6553
23-AUG-2021,500214,2214.15,2187.70,0.0120,0.0315,0.0314,0.5999
23-AUG-2021,500220,115.70,124.00,-0.0693,0.0401,0.0403,0.7699
23-AUG-2021,500223,2.53,2.66,-0.0501,0.0387,0.0387,0.7394
23-AUG-2021,500236,3.10,3.26,-0.0503,0.0308,0.0309,0.5903
23-AUG-2021,500239,39.55,40.90,-0.0336,0.0360,0.0360,0.6878
23-AUG-2021,500240,52.15,53.80,-0.0311,0.0324,0.0324,0.6190
23-AUG-2021,500246,37.65,36.20,0.0393,0.0325,0.0326,0.6228
23-AUG-2021,500248,3.06,3.06,0.0000,0.0652,0.0650,1.2418
23-AUG-2021,500264,134.00,133.05,0.0071,0.0391,0.0390,0.7451
23-AUG-2021,500267,124.45,122.80,0.0133,0.0352,0.0351,0.6706
23-AUG-2021,500274,5.69,5.69,0.0000,0.0427,0.0426,0.8139
23-AUG-2021,500277,5.83,5.83,0.0000,0.0178,0.0178,0.3401
23-AUG-2021,500284,50.00,49.85,0.0030,0.0357,0.0356,0.6801
23-AUG-2021,500298,2124.25,2180.35,-0.0261,0.0311,0.0310,0.5923
23-AUG-2021,500306,58.80,61.85,-0.0506,0.0401,0.0401,0.7661
23-AUG-2021,500307,295.00,292.75,0.0077,0.0173,0.0173,0.3305
23-AUG-2021,500319,49.35,51.90,-0.0504,0.0404,0.0405,0.7738
23-AUG-2021,500333,698.55,720.80,-0.0314,0.0384,0.0384,0.7336
23-AUG-2021,500346,29.20,29.80,-0.0203,0.0425,0.0424,0.8101
23-AUG-2021,500357,29.00,28.95,0.0017,0.0344,0.0343,0.6553
23-AUG-2021,500358,3.50,3.50,0.0000,0.0308,0.0307,0.5865
23-AUG-2021,500360,31.25,32.70,-0.0454,0.0368,0.0369,0.7050
23-AUG-2021,500365,12.30,13.10,-0.0630,0.0432,0.0433,0.8272
23-AUG-2021,500367,99.35,103.40,-0.0400,0.0343,0.0343,0.6553
23-AUG-2021,500370,35.25,36.75,-0.0417,0.0324,0.0325,0.6209
23-AUG-2021,500388,14.05,14.05,0.0000,0.0236,0.0236,0.4509
23-AUG-2021,500414,43.10,44.75,-0.0376,0.0350,0.0350,0.6687
23-AUG-2021,500421,3.04,3.04,0.0000,0.0084,0.0084,0.1605
23-AUG-2021,500422,21.50,23.60,-0.0932,0.0476,0.0479,0.9151
23-AUG-2021,500426,10.16,10.16,0.0000,0.0346,0.0345,0.6591
23-AUG-2021,500449,29.25,31.90,-0.0867,0.0380,0.0384,0.7336
23-AUG-2021,500450,218.45,229.90,-0.0511,0.0259,0.0261,0.4986
23-AUG-2021,500456,26.75,28.15,-0.0510,0.0391,0.0392,0.7489
23-AUG-2021,500458,2.67,2.56,0.0421,0.0306,0.0307,0.5865
23-AUG-2021,500655,993.60,1029.05,-0.0351,0.0309,0.0309,0.5903
23-AUG-2021,501110,6.19,6.19,0.0000,0.0000,0.0000,0.0000
23-AUG-2021,501111,11.02,11.02,0.0000,0.0042,0.0042,0.0802
23-AUG-2021,501144,13.35,13.35,0.0000,0.0043,0.0043,0.0822
23-AUG-2021,501148,237.75,233.10,0.0198,0.0169,0.0169,0.3229
23-AUG-2021,501151,682.90,682.90,0.0000,0.0104,0.0104,0.1987
23-AUG-2021,501261,280.00,280.00,0.0000,0.0013,0.0013,0.0248
23-AUG-2021,501270,1.17,1.17,0.0000,0.0000,0.0000,0.0000
23-AUG-2021,501298,1526.05,1570.65,-0.0288,0.0263,0.0263,0.5025
23-AUG-2021,501311,7.97,7.97,0.0000,0.0225,0.0225,0.4299
23-AUG-2021,501314,105.90,105.90,0.0000,0.0247,0.0247,0.4719
23-AUG-2021,501351,33.25,33.25,0.0000,0.0029,0.0029,0.0554
23-AUG-2021,501370,78.85,79.15,-0.0038,0.0406,0.0405,0.7738
23-AUG-2021,501386,5.61,5.61,0.0000,0.0000,0.0000,0.0000
23-AUG-2021,501391,158.40,166.70,-0.0511,0.0339,0.0340,0.6496
23-AUG-2021,501421,216.70,228.10,-0.0513,0.0309,0.0311,0.5942
23-AUG-2021,501423,1778.30,1783.45,-0.0029,0.0343,0.0342,0.6534
23-AUG-2021,501430,630.00,644.90,-0.0234,0.0347,0.0347,0.6629
23-AUG-2021,501477,137.00,137.00,0.0000,0.0290,0.0289,0.5521
23-AUG-2021,501622,24.70,23.65,0.0434,0.0329,0.0330,0.6305
23-AUG-2021,501630,18.30,18.30,0.0000,0.0000,0.0000,0.0000
23-AUG-2021,501700,16.70,15.75,0.0586,0.0333,0.0335,0.6400
23-AUG-2021,501831,243.15,247.85,-0.0191,0.0331,0.0330,0.6305
23-AUG-2021,501833,9.48,9.97,-0.0504,0.0366,0.0367,0.7012
23-AUG-2021,501848,29.70,31.25,-0.0509,0.0405,0.0406,0.7757
23-AUG-2021,501945,1.24,1.26,-0.0160,0.0122,0.0122,0.2331
23-AUG-2021,502015,14.60,13.95,0.0455,0.0435,0.0435,0.8311
23-AUG-2021,502175,94.00,101.75,-0.0792,0.0335,0.0338,0.6457
23-AUG-2021,502250,206.30,206.30,0.0000,0.0137,0.0137,0.2617
23-AUG-2021,502271,13.64,14.35,-0.0507,0.0286,0.0288,0.5502
23-AUG-2021,502281,5.00,5.00,0.0000,0.0423,0.0421,0.8043
23-AUG-2021,502294,42.75,42.75,0.0000,0.0211,0.0210,0.4012
23-AUG-2021,502445,12.19,12.83,-0.0512,0.0383,0.0384,0.7336
23-AUG-2021,502460,34.00,34.00,0.0000,0.0115,0.0114,0.2178
23-AUG-2021,502563,1.91,1.91,0.0000,0.0177,0.0176,0.3362
23-AUG-2021,502587,96.25,100.85,-0.0467,0.0385,0.0386,0.7375
23-AUG-2021,502589,27.65,27.65,0.0000,0.0241,0.0240,0.4585
23-AUG-2021,502850,16.90,16.90,0.0000,0.0385,0.0384,0.7336
23-AUG-2021,502865,2935.45,3000.85,-0.0220,0.0323,0.0322,0.6152
23-AUG-2021,502873,83.15,85.60,-0.0290,0.0379,0.0379,0.7241
23-AUG-2021,502893,42.70,41.90,0.0189,0.0279,0.0279,0.5330
23-AUG-2021,502901,3636.85,3828.25,-0.0513,0.0295,0.0296,0.5655
23-AUG-2021,502933,19.70,19.70,0.0000,0.0215,0.0215,0.4108
