Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
18-OCT-2021,20MICRONS,62.70,62.40,0.0048,0.0349,0.0348,0.6649
18-OCT-2021,21STCENMGM,51.05,50.10,0.0188,0.0207,0.0207,0.3955
18-OCT-2021,3MINDIA,26353.75,26014.45,0.0130,0.0198,0.0197,0.3764
18-OCT-2021,3PLAND,13.75,13.75,0.0000,0.0505,0.0503,0.9610
18-OCT-2021,500009,31.70,32.20,-0.0156,0.0390,0.0389,0.7432
18-OCT-2021,500012,146.90,148.40,-0.0102,0.0350,0.0349,0.6668
18-OCT-2021,500014,3.20,3.13,0.0221,0.0418,0.0418,0.7986
18-OCT-2021,500016,14.80,14.55,0.0170,0.0494,0.0492,0.9400
18-OCT-2021,500028,11.77,11.28,0.0425,0.0323,0.0324,0.6190
18-OCT-2021,500058,10.50,10.08,0.0408,0.0324,0.0325,0.6209
18-OCT-2021,500068,5500.00,5462.30,0.0069,0.0244,0.0243,0.4643
18-OCT-2021,500069,359.60,351.10,0.0239,0.0320,0.0319,0.6094
18-OCT-2021,500120,286.65,290.35,-0.0128,0.0342,0.0341,0.6515
18-OCT-2021,500123,3846.70,3713.15,0.0353,0.0272,0.0273,0.5216
18-OCT-2021,500142,2.31,2.31,0.0000,0.0238,0.0237,0.4528
18-OCT-2021,500143,74.15,70.75,0.0469,0.0351,0.0351,0.6706
18-OCT-2021,500147,976.30,960.60,0.0162,0.0313,0.0312,0.5961
18-OCT-2021,500159,82.75,84.10,-0.0162,0.0380,0.0379,0.7241
18-OCT-2021,500166,268.45,274.05,-0.0206,0.0284,0.0284,0.5426
18-OCT-2021,500170,20.35,19.40,0.0478,0.0389,0.0389,0.7432
18-OCT-2021,500192,2.60,2.51,0.0352,0.0332,0.0332,0.6343
18-OCT-2021,500202,7.70,7.80,-0.0129,0.0317,0.0317,0.6056
18-OCT-2021,500206,27.90,28.00,-0.0036,0.0359,0.0358,0.6840
18-OCT-2021,500211,8.16,8.40,-0.0290,0.0404,0.0404,0.7718
18-OCT-2021,500213,92.35,91.85,0.0054,0.0338,0.0337,0.6438
18-OCT-2021,500214,2307.80,2348.80,-0.0176,0.0301,0.0300,0.5731
18-OCT-2021,500220,121.65,122.95,-0.0106,0.0382,0.0382,0.7298
18-OCT-2021,500223,3.49,3.67,-0.0503,0.0389,0.0390,0.7451
18-OCT-2021,500236,4.39,4.62,-0.0511,0.0336,0.0337,0.6438
