Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
01-JAN-2025,20MICRONS,237.45,235.35,0.0089,0.0319,0.0318,0.6075
01-JAN-2025,21STCENMGM,89.59,89.80,-0.0023,0.0201,0.0200,0.3821
01-JAN-2025,360ONE,1276.70,1254.80,0.0173,0.0233,0.0233,0.4451
01-JAN-2025,3IINFOLTD,33.67,28.06,0.1823,0.0288,0.0314,0.5999
01-JAN-2025,3MINDIA,30178.35,30393.75,-0.0071,0.0173,0.0173,0.3305
01-JAN-2025,3PLAND,62.46,59.31,0.0517,0.0394,0.0394,0.7527
01-JAN-2025,500009,56.13,53.58,0.0465,0.0359,0.0360,0.6878
01-JAN-2025,500012,76.52,74.38,0.0284,0.0268,0.0268,0.5120
01-JAN-2025,500014,7.28,7.12,0.0222,0.0296,0.0295,0.5636
01-JAN-2025,500016,11.61,11.37,0.0209,0.0309,0.0308,0.5884
01-JAN-2025,500028,41.69,37.90,0.0953,0.0310,0.0316,0.6037
01-JAN-2025,500058,17.06,16.76,0.0177,0.0315,0.0314,0.5999
01-JAN-2025,500068,16594.15,16515.50,0.0048,0.0184,0.0184,0.3515
01-JAN-2025,500069,491.50,487.35,0.0085,0.0279,0.0279,0.5330
01-JAN-2025,500123,12754.35,12778.95,-0.0019,0.0230,0.0230,0.4394
01-JAN-2025,500142,9.88,9.70,0.0184,0.0403,0.0402,0.7680
01-JAN-2025,500143,326.00,310.50,0.0487,0.0348,0.0349,0.6668
01-JAN-2025,500147,4192.10,4184.50,0.0018,0.0323,0.0322,0.6152
01-JAN-2025,500159,164.75,160.70,0.0249,0.0244,0.0244,0.4662
01-JAN-2025,500166,281.40,289.80,-0.0294,0.0273,0.0273,0.5216
01-JAN-2025,500168,1013.10,1004.85,0.0082,0.0120,0.0120,0.2293
01-JAN-2025,500170,35.14,35.70,-0.0158,0.0287,0.0287,0.5483
01-JAN-2025,500192,3.05,2.96,0.0300,0.0293,0.0293,0.5598
01-JAN-2025,500202,11.61,11.80,-0.0162,0.0393,0.0392,0.7489
01-JAN-2025,500206,133.50,136.22,-0.0202,0.0400,0.0399,0.7623
01-JAN-2025,500213,717.90,680.85,0.0530,0.0270,0.0272,0.5197
01-JAN-2025,500220,189.90,188.05,0.0098,0.0324,0.0323,0.6171
01-JAN-2025,500239,25.56,24.90,0.0262,0.0270,0.0270,0.5158
01-JAN-2025,500240,162.90,164.50,-0.0098,0.0280,0.0280,0.5349
01-JAN-2025,500245,646.00,639.45,0.0102,0.0242,0.0242,0.4623
01-JAN-2025,500246,130.30,132.85,-0.0194,0.0356,0.0355,0.6782
01-JAN-2025,500248,11.25,11.44,-0.0167,0.0319,0.0319,0.6094
01-JAN-2025,500264,193.15,191.15,0.0104,0.0346,0.0345,0.6591
01-JAN-2025,500267,434.15,434.15,0.0000,0.0276,0.0275,0.5254
01-JAN-2025,500270,171.05,171.05,0.0000,0.0271,0.0271,0.5177
01-JAN-2025,500277,9.32,9.32,0.0000,0.0293,0.0292,0.5579
01-JAN-2025,500285,56.42,55.40,0.0182,0.0366,0.0365,0.6973
01-JAN-2025,500298,1212.85,1216.95,-0.0034,0.0333,0.0332,0.6343
01-JAN-2025,500306,124.95,121.35,0.0292,0.0363,0.0363,0.6935
01-JAN-2025,500307,500.60,503.30,-0.0054,0.0135,0.0135,0.2579
01-JAN-2025,500319,119.25,119.75,-0.0042,0.0356,0.0355,0.6782
01-JAN-2025,500322,192.20,187.45,0.0250,0.0277,0.0277,0.5292
01-JAN-2025,500346,56.12,56.26,-0.0025,0.0340,0.0339,0.6477
01-JAN-2025,500357,16.96,16.36,0.0360,0.0295,0.0296,0.5655
01-JAN-2025,500360,108.75,102.45,0.0597,0.0345,0.0347,0.6629
01-JAN-2025,500365,45.16,44.47,0.0154,0.0285,0.0285,0.5445
01-JAN-2025,500370,75.78,71.25,0.0616,0.0357,0.0359,0.6859
01-JAN-2025,500388,36.12,37.85,-0.0468,0.0341,0.0342,0.6534
01-JAN-2025,500389,25.77,26.29,-0.0200,0.0180,0.0181,0.3458
01-JAN-2025,500414,202.75,193.55,0.0464,0.0304,0.0305,0.5827
01-JAN-2025,500421,19.96,19.96,0.0000,0.0262,0.0262,0.5006
01-JAN-2025,500422,49.48,51.48,-0.0396,0.0380,0.0380,0.7260
01-JAN-2025,500426,2.93,2.84,0.0312,0.0304,0.0304,0.5808
01-JAN-2025,500449,40.85,40.93,-0.0020,0.0299,0.0298,0.5693
01-JAN-2025,500450,603.75,603.75,0.0000,0.0292,0.0291,0.5560
01-JAN-2025,500458,42.07,41.25,0.0197,0.0351,0.0351,0.6706
01-JAN-2025,500672,912.00,919.80,-0.0085,0.0205,0.0205,0.3917
01-JAN-2025,501110,7.15,7.15,0.0000,0.0011,0.0011,0.0210
01-JAN-2025,501111,11.57,11.57,0.0000,0.0033,0.0033,0.0630
01-JAN-2025,501144,223.25,227.80,-0.0202,0.0194,0.0194,0.3706
01-JAN-2025,501261,322.40,322.40,0.0000,0.0062,0.0061,0.1165
01-JAN-2025,501270,1.34,1.34,0.0000,0.0016,0.0016,0.0306
01-JAN-2025,501298,6330.60,6090.00,0.0387,0.0275,0.0275,0.5254
01-JAN-2025,501311,13.55,13.55,0.0000,0.0299,0.0299,0.5712
01-JAN-2025,501314,1.11,1.07,0.0367,0.0450,0.0449,0.8578
01-JAN-2025,501351,164.70,168.05,-0.0201,0.0187,0.0187,0.3573
01-JAN-2025,501370,178.00,175.95,0.0116,0.0344,0.0343,0.6553
01-JAN-2025,501386,11.73,11.73,0.0000,0.0161,0.0160,0.3057
01-JAN-2025,501391,918.95,903.50,0.0170,0.0369,0.0369,0.7050
01-JAN-2025,501421,3403.55,3521.20,-0.0340,0.0322,0.0322,0.6152
01-JAN-2025,501430,1881.90,1831.55,0.0271,0.0300,0.0300,0.5731
01-JAN-2025,501477,323.35,309.50,0.0438,0.0347,0.0347,0.6629
01-JAN-2025,501622,88.18,89.97,-0.0201,0.0307,0.0306,0.5846
01-JAN-2025,501630,24.48,24.48,0.0000,0.0039,0.0038,0.0726
01-JAN-2025,501700,15.38,14.51,0.0582,0.0298,0.0300,0.5731
01-JAN-2025,501833,29.30,29.00,0.0103,0.0329,0.0329,0.6286
01-JAN-2025,501848,117.90,113.15,0.0411,0.0318,0.0319,0.6094
01-JAN-2025,501945,5.34,5.44,-0.0186,0.0123,0.0123,0.2350
01-JAN-2025,502015,50.35,50.97,-0.0122,0.0390,0.0389,0.7432
01-JAN-2025,502133,78.59,78.20,0.0050,0.0252,0.0252,0.4814
01-JAN-2025,502250,488.80,514.50,-0.0512,0.0315,0.0316,0.6037
01-JAN-2025,502281,21.20,19.57,0.0800,0.0255,0.0261,0.4986
01-JAN-2025,502294,48.49,51.50,-0.0602,0.0423,0.0424,0.8101
01-JAN-2025,502445,69.55,72.99,-0.0483,0.0362,0.0363,0.6935
01-JAN-2025,502587,70.00,68.41,0.0230,0.0246,0.0246,0.4700
01-JAN-2025,502589,147.95,142.90,0.0347,0.0376,0.0375,0.7164
01-JAN-2025,502850,13.14,13.14,0.0000,0.0060,0.0059,0.1127
01-JAN-2025,502865,470.80,467.75,0.0065,0.0331,0.0330,0.6305
01-JAN-2025,502873,129.45,131.40,-0.0150,0.0301,0.0300,0.5731
01-JAN-2025,502893,102.25,101.75,0.0049,0.0327,0.0326,0.6228
01-JAN-2025,502901,138.70,133.90,0.0352,0.2585,0.2578,4.9253
01-JAN-2025,502933,214.00,214.00,0.0000,0.0279,0.0278,0.5311
01-JAN-2025,502958,7224.95,7142.75,0.0114,0.0231,0.0231,0.4413
01-JAN-2025,503092,33.29,34.80,-0.0444,0.0345,0.0345,0.6591
01-JAN-2025,503127,5481.00,5479.90,0.0002,0.0299,0.0298,0.5693
01-JAN-2025,503229,206.00,202.65,0.0164,0.0376,0.0375,0.7164
01-JAN-2025,503349,7499.00,7499.00,0.0000,0.0328,0.0328,0.6266
01-JAN-2025,503622,7.35,7.35,0.0000,0.0000,0.0000,0.0000
01-JAN-2025,503624,10.47,10.71,-0.0227,0.0369,0.0369,0.7050
01-JAN-2025,503626,10.50,10.50,0.0000,0.0000,0.0000,0.0000
01-JAN-2025,503635,13.89,13.89,0.0000,0.0022,0.0022,0.0420
01-JAN-2025,503639,9.55,9.55,0.0000,0.0137,0.0137,0.2617
01-JAN-2025,503641,14.24,14.27,-0.0021,0.0280,0.0279,0.5330
01-JAN-2025,503657,23.73,23.85,-0.0050,0.0367,0.0366,0.6992
01-JAN-2025,503659,74.91,74.91,0.0000,0.0326,0.0325,0.6209
01-JAN-2025,503663,3.54,3.53,0.0028,0.0404,0.0403,0.7699
01-JAN-2025,503671,4.55,4.55,0.0000,0.0000,0.0000,0.0000
01-JAN-2025,503675,1.45,1.42,0.0209,0.0406,0.0405,0.7738
01-JAN-2025,503681,182341.70,181470.65,0.0048,0.7080,0.7062,13.4919
01-JAN-2025,503685,32.09,32.50,-0.0127,0.0327,0.0326,0.6228
01-JAN-2025,503689,3.20,3.20,0.0000,0.0000,0.0000,0.0000
01-JAN-2025,503772,57.21,57.21,0.0000,0.0358,0.0357,0.6820
01-JAN-2025,503776,58.07,61.04,-0.0499,0.0401,0.0402,0.7680
01-JAN-2025,503804,391.80,393.85,-0.0052,0.0205,0.0204,0.3897
01-JAN-2025,503816,95.13,92.18,0.0315,0.0342,0.0342,0.6534
01-JAN-2025,503837,17.20,17.21,-0.0006,0.0265,0.0265,0.5063
01-JAN-2025,503863,11.17,11.75,-0.0506,0.0263,0.0265,0.5063
01-JAN-2025,504000,118.75,115.05,0.0317,0.0314,0.0314,0.5999
01-JAN-2025,504028,142.00,141.80,0.0014,0.0286,0.0285,0.5445
01-JAN-2025,504076,100.88,96.60,0.0434,0.0374,0.0374,0.7145
01-JAN-2025,504080,1699.00,1699.00,0.0000,0.0339,0.0338,0.6457
01-JAN-2025,504084,1546.40,1627.75,-0.0513,0.2056,0.2051,3.9184
01-JAN-2025,504092,101.39,98.34,0.0305,0.0308,0.0308,0.5884
01-JAN-2025,504093,472.05,455.50,0.0357,0.0258,0.0259,0.4948
01-JAN-2025,504132,980.00,965.95,0.0144,0.0287,0.0286,0.5464
01-JAN-2025,504176,614.55,609.70,0.0079,0.0307,0.0306,0.5846
01-JAN-2025,504180,81.54,74.13,0.0953,0.0293,0.0300,0.5731
01-JAN-2025,504240,1008.40,1043.40,-0.0341,0.0329,0.0329,0.6286
01-JAN-2025,504258,1244.65,1232.60,0.0097,0.0260,0.0260,0.4967
01-JAN-2025,504273,26.92,27.77,-0.0311,0.0313,0.0313,0.5980
01-JAN-2025,504340,8.11,7.96,0.0187,0.0176,0.0176,0.3362
01-JAN-2025,504346,185.50,181.90,0.0196,0.0172,0.0172,0.3286
01-JAN-2025,504351,2.09,2.00,0.0440,0.0221,0.0223,0.4260
