Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
26-SEP-2023,20MICRONS,130.50,132.40,-0.0145,0.0295,0.0294,0.5617
26-SEP-2023,21STCENMGM,19.15,19.00,0.0079,0.0167,0.0167,0.3191
26-SEP-2023,360ONE,514.65,520.20,-0.0107,0.0198,0.0197,0.3764
26-SEP-2023,3IINFOLTD,40.60,41.15,-0.0135,0.0287,0.0287,0.5483
26-SEP-2023,3MINDIA,30952.20,31693.25,-0.0237,0.0174,0.0175,0.3343
26-SEP-2023,3PLAND,22.65,22.80,-0.0066,0.0354,0.0353,0.6744
26-SEP-2023,500009,36.14,36.08,0.0017,0.0313,0.0312,0.5961
26-SEP-2023,500012,77.12,77.10,0.0003,0.0285,0.0285,0.5445
26-SEP-2023,500014,6.50,6.26,0.0376,0.0355,0.0355,0.6782
26-SEP-2023,500016,16.57,16.63,-0.0036,0.0351,0.0350,0.6687
26-SEP-2023,500028,11.53,12.09,-0.0474,0.0291,0.0292,0.5579
26-SEP-2023,500058,11.29,11.06,0.0206,0.0251,0.0251,0.4795
26-SEP-2023,500068,14247.50,14127.50,0.0085,0.0213,0.0212,0.4050
26-SEP-2023,500069,270.00,268.00,0.0074,0.0253,0.0252,0.4814
26-SEP-2023,500123,7480.25,7375.05,0.0142,0.0198,0.0197,0.3764
26-SEP-2023,500142,6.39,6.09,0.0481,0.0510,0.0509,0.9724
26-SEP-2023,500143,72.89,72.00,0.0123,0.0375,0.0374,0.7145
26-SEP-2023,500147,2876.40,2865.55,0.0038,0.0308,0.0307,0.5865
26-SEP-2023,500159,89.29,93.52,-0.0463,0.0250,0.0252,0.4814
26-SEP-2023,500166,200.75,201.50,-0.0037,0.0201,0.0200,0.3821
26-SEP-2023,500170,33.50,33.23,0.0081,0.0379,0.0378,0.7222
26-SEP-2023,500192,3.04,3.09,-0.0163,0.0320,0.0320,0.6114
