Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
15-SEP-2023,20MICRONS,124.40,126.00,-0.0128,0.0298,0.0297,0.5674
15-SEP-2023,21STCENMGM,20.00,19.80,0.0101,0.0167,0.0167,0.3191
15-SEP-2023,360ONE,526.65,547.60,-0.0390,0.0197,0.0198,0.3783
15-SEP-2023,3IINFOLTD,38.35,38.15,0.0052,0.0286,0.0286,0.5464
15-SEP-2023,3MINDIA,30367.20,31105.95,-0.0240,0.0173,0.0173,0.3305
15-SEP-2023,3PLAND,22.65,22.90,-0.0110,0.0357,0.0357,0.6820
15-SEP-2023,500009,36.03,35.97,0.0017,0.0314,0.0313,0.5980
15-SEP-2023,500012,80.21,80.67,-0.0057,0.0288,0.0287,0.5483
15-SEP-2023,500014,6.72,6.79,-0.0104,0.0359,0.0358,0.6840
15-SEP-2023,500016,17.55,18.24,-0.0386,0.0350,0.0350,0.6687
15-SEP-2023,500028,12.44,12.69,-0.0199,0.0292,0.0291,0.5560
15-SEP-2023,500058,8.73,8.69,0.0046,0.0243,0.0243,0.4643
15-SEP-2023,500068,14708.05,14899.95,-0.0130,0.0215,0.0215,0.4108
15-SEP-2023,500069,282.00,280.00,0.0071,0.0255,0.0254,0.4853
15-SEP-2023,500120,538.60,503.00,0.0684,0.0313,0.0316,0.6037
15-SEP-2023,500123,7014.60,7019.10,-0.0006,0.0199,0.0198,0.3783
15-SEP-2023,500142,6.00,6.00,0.0000,0.0512,0.0511,0.9763
15-SEP-2023,500143,70.80,70.75,0.0007,0.0378,0.0377,0.7203
15-SEP-2023,500147,2855.30,2841.70,0.0048,0.0311,0.0310,0.5923
15-SEP-2023,500159,98.67,99.57,-0.0091,0.0253,0.0252,0.4814
15-SEP-2023,500166,207.25,207.60,-0.0017,0.0198,0.0197,0.3764
15-SEP-2023,500170,35.28,36.00,-0.0202,0.0383,0.0383,0.7317
15-SEP-2023,500192,3.30,3.29,0.0030,0.0324,0.0323,0.6171
15-SEP-2023,500202,6.80,7.15,-0.0502,0.0312,0.0313,0.5980
15-SEP-2023,500206,29.04,29.15,-0.0038,0.0442,0.0441,0.8425
15-SEP-2023,500213,374.85,371.65,0.0086,0.0320,0.0320,0.6114
15-SEP-2023,500220,242.10,248.75,-0.0271,0.0363,0.0362,0.6916
15-SEP-2023,500223,2.47,2.38,0.0371,0.0365,0.0365,0.6973
15-SEP-2023,500236,1.44,1.46,-0.0138,0.0358,0.0357,0.6820
15-SEP-2023,500239,29.43,29.34,0.0031,0.0306,0.0305,0.5827
15-SEP-2023,500240,147.15,140.15,0.0487,0.0283,0.0284,0.5426
15-SEP-2023,500246,201.80,197.85,0.0198,0.0382,0.0381,0.7279
15-SEP-2023,500248,4.39,4.19,0.0466,0.0413,0.0413,0.7890
15-SEP-2023,500264,144.40,147.25,-0.0195,0.0368,0.0367,0.7012
15-SEP-2023,500267,185.15,188.20,-0.0163,0.0260,0.0260,0.4967
15-SEP-2023,500270,175.65,180.60,-0.0278,0.0316,0.0315,0.6018
15-SEP-2023,500277,8.84,9.30,-0.0507,0.0349,0.0350,0.6687
15-SEP-2023,500285,38.54,38.38,0.0042,0.0308,0.0307,0.5865
15-SEP-2023,500298,1990.60,2003.20,-0.0063,0.0248,0.0247,0.4719
15-SEP-2023,500306,68.49,68.27,0.0032,0.0338,0.0337,0.6438
15-SEP-2023,500307,421.70,424.80,-0.0073,0.0184,0.0184,0.3515
15-SEP-2023,500319,94.77,94.80,-0.0003,0.0341,0.0340,0.6496
15-SEP-2023,500346,37.60,36.87,0.0196,0.0305,0.0305,0.5827
15-SEP-2023,500357,24.25,24.45,-0.0082,0.0335,0.0335,0.6400
15-SEP-2023,500358,3.62,3.62,0.0000,0.0383,0.0382,0.7298
15-SEP-2023,500360,69.20,66.07,0.0463,0.0379,0.0379,0.7241
15-SEP-2023,500365,36.03,36.07,-0.0011,0.0306,0.0306,0.5846
15-SEP-2023,500367,87.84,83.02,0.0564,0.0244,0.0247,0.4719
15-SEP-2023,500370,60.23,61.45,-0.0201,0.0411,0.0410,0.7833
15-SEP-2023,500388,27.34,26.81,0.0196,0.0294,0.0293,0.5598
15-SEP-2023,500414,157.15,157.50,-0.0022,0.0298,0.0297,0.5674
15-SEP-2023,500422,24.40,23.80,0.0249,0.0368,0.0368,0.7031
15-SEP-2023,500426,2.36,2.48,-0.0496,0.0396,0.0396,0.7566
15-SEP-2023,500449,32.25,31.85,0.0125,0.0271,0.0271,0.5177
15-SEP-2023,500450,782.30,767.00,0.0198,0.0298,0.0298,0.5693
15-SEP-2023,500458,7.09,6.99,0.0142,0.0310,0.0309,0.5903
15-SEP-2023,501110,7.15,7.15,0.0000,0.0025,0.0025,0.0478
15-SEP-2023,501111,11.02,11.02,0.0000,0.0022,0.0022,0.0420
15-SEP-2023,501144,13.35,13.35,0.0000,0.0013,0.0013,0.0248
15-SEP-2023,501148,271.00,271.00,0.0000,0.0149,0.0149,0.2847
15-SEP-2023,501151,521.00,521.00,0.0000,0.0123,0.0123,0.2350
15-SEP-2023,501261,294.00,294.00,0.0000,0.0024,0.0024,0.0459
15-SEP-2023,501270,1.34,1.34,0.0000,0.0035,0.0035,0.0669
15-SEP-2023,501298,3494.05,3438.45,0.0160,0.0215,0.0215,0.4108
15-SEP-2023,501311,4.56,4.80,-0.0513,0.0263,0.0265,0.5063
15-SEP-2023,501314,1.81,1.84,-0.0164,0.0767,0.0765,1.4615
15-SEP-2023,501351,96.36,96.36,0.0000,0.0097,0.0096,0.1834
15-SEP-2023,501370,190.80,190.05,0.0039,0.0418,0.0417,0.7967
15-SEP-2023,501386,3.72,3.72,0.0000,0.0324,0.0323,0.6171
15-SEP-2023,501391,365.05,365.40,-0.0010,0.0394,0.0393,0.7508
15-SEP-2023,501421,174.70,174.70,0.0000,0.0307,0.0306,0.5846
15-SEP-2023,501430,1012.95,1025.00,-0.0118,0.0283,0.0282,0.5388
