Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
22-SEP-2023,20MICRONS,128.85,125.70,0.0248,0.0295,0.0295,0.5636
22-SEP-2023,21STCENMGM,19.00,19.35,-0.0183,0.0167,0.0167,0.3191
22-SEP-2023,360ONE,528.90,515.95,0.0248,0.0197,0.0198,0.3783
22-SEP-2023,3IINFOLTD,40.35,37.70,0.0679,0.0284,0.0288,0.5502
22-SEP-2023,3MINDIA,31285.10,29912.50,0.0449,0.0172,0.0174,0.3324
22-SEP-2023,3PLAND,23.40,23.50,-0.0043,0.0355,0.0354,0.6763
22-SEP-2023,500009,36.63,35.00,0.0455,0.0312,0.0313,0.5980
22-SEP-2023,500012,77.65,78.51,-0.0110,0.0287,0.0286,0.5464
22-SEP-2023,500014,6.20,6.31,-0.0176,0.0357,0.0356,0.6801
22-SEP-2023,500016,17.50,17.11,0.0225,0.0350,0.0350,0.6687
22-SEP-2023,500028,11.52,11.73,-0.0181,0.0290,0.0290,0.5540
22-SEP-2023,500058,10.59,10.09,0.0484,0.0248,0.0250,0.4776
22-SEP-2023,500068,14249.30,14126.05,0.0087,0.0214,0.0213,0.4069
22-SEP-2023,500069,268.00,267.25,0.0028,0.0254,0.0253,0.4834
22-SEP-2023,500120,536.25,526.50,0.0183,0.0314,0.0313,0.5980
22-SEP-2023,500123,7228.60,7197.40,0.0043,0.0198,0.0198,0.3783
22-SEP-2023,500142,6.40,6.28,0.0189,0.0511,0.0510,0.9744
22-SEP-2023,500143,70.64,71.10,-0.0065,0.0377,0.0376,0.7183
22-SEP-2023,500147,2913.30,2860.30,0.0184,0.0309,0.0309,0.5903
22-SEP-2023,500159,93.47,95.29,-0.0193,0.0251,0.0251,0.4795
22-SEP-2023,500166,200.45,201.90,-0.0072,0.0201,0.0201,0.3840
22-SEP-2023,500170,33.90,33.92,-0.0006,0.0380,0.0379,0.7241
22-SEP-2023,500192,3.14,3.17,-0.0095,0.0321,0.0321,0.6133
22-SEP-2023,500202,5.56,5.85,-0.0508,0.0317,0.0318,0.6075
22-SEP-2023,500206,30.46,28.25,0.0753,0.0440,0.0442,0.8444
22-SEP-2023,500213,361.45,359.40,0.0057,0.0319,0.0318,0.6075
22-SEP-2023,500220,311.40,284.25,0.0912,0.0370,0.0375,0.7164
22-SEP-2023,500223,3.39,2.83,0.1806,0.0370,0.0390,0.7451
22-SEP-2023,500236,1.44,1.50,-0.0408,0.0356,0.0356,0.6801
22-SEP-2023,500239,30.57,30.49,0.0026,0.0303,0.0302,0.5770
22-SEP-2023,500240,139.10,138.95,0.0011,0.0284,0.0283,0.5407
22-SEP-2023,500246,208.75,204.70,0.0196,0.0379,0.0378,0.7222
22-SEP-2023,500248,4.78,4.60,0.0384,0.0411,0.0411,0.7852
22-SEP-2023,500264,140.45,140.00,0.0032,0.0366,0.0365,0.6973
22-SEP-2023,500267,177.85,180.00,-0.0120,0.0258,0.0258,0.4929
22-SEP-2023,500270,178.70,179.20,-0.0028,0.0313,0.0313,0.5980
22-SEP-2023,500277,7.94,8.13,-0.0236,0.0352,0.0351,0.6706
22-SEP-2023,500285,35.97,37.03,-0.0290,0.0305,0.0305,0.5827
22-SEP-2023,500298,2293.05,2352.50,-0.0256,0.0260,0.0260,0.4967
22-SEP-2023,500306,66.67,67.30,-0.0094,0.0335,0.0334,0.6381
22-SEP-2023,500307,418.95,422.35,-0.0081,0.0183,0.0183,0.3496
22-SEP-2023,500319,90.59,91.51,-0.0101,0.0339,0.0338,0.6457
22-SEP-2023,500346,46.79,43.25,0.0787,0.0313,0.0317,0.6056
22-SEP-2023,500357,22.57,23.75,-0.0510,0.0335,0.0336,0.6419
22-SEP-2023,500358,3.53,3.53,0.0000,0.0380,0.0379,0.7241
22-SEP-2023,500360,65.91,64.27,0.0252,0.0378,0.0377,0.7203
22-SEP-2023,500365,35.61,35.46,0.0042,0.0303,0.0303,0.5789
22-SEP-2023,500367,83.06,84.49,-0.0171,0.0246,0.0245,0.4681
22-SEP-2023,500370,56.74,57.88,-0.0199,0.0408,0.0407,0.7776
22-SEP-2023,500388,28.93,28.93,0.0000,0.0292,0.0291,0.5560
22-SEP-2023,500414,153.80,153.50,0.0020,0.0295,0.0295,0.5636
22-SEP-2023,500422,23.84,23.95,-0.0046,0.0365,0.0365,0.6973
22-SEP-2023,500426,2.30,2.42,-0.0509,0.0396,0.0396,0.7566
22-SEP-2023,500449,33.66,31.93,0.0528,0.0272,0.0273,0.5216
22-SEP-2023,500450,846.70,830.10,0.0198,0.0297,0.0296,0.5655
22-SEP-2023,500458,6.96,6.93,0.0043,0.0308,0.0308,0.5884
22-SEP-2023,501110,7.15,7.15,0.0000,0.0025,0.0025,0.0478
22-SEP-2023,501111,11.02,11.02,0.0000,0.0022,0.0022,0.0420
22-SEP-2023,501144,13.35,13.35,0.0000,0.0013,0.0013,0.0248
22-SEP-2023,501148,272.70,267.40,0.0196,0.0148,0.0148,0.2828
22-SEP-2023,501151,521.00,521.00,0.0000,0.0122,0.0122,0.2331
22-SEP-2023,501261,294.00,294.00,0.0000,0.0024,0.0024,0.0459
22-SEP-2023,501270,1.34,1.34,0.0000,0.0035,0.0035,0.0669
22-SEP-2023,501298,3682.30,3717.80,-0.0096,0.0218,0.0217,0.4146
22-SEP-2023,501311,4.47,4.47,0.0000,0.0263,0.0263,0.5025
22-SEP-2023,501314,1.69,1.72,-0.0176,0.0760,0.0758,1.4482
22-SEP-2023,501351,96.36,96.36,0.0000,0.0096,0.0096,0.1834
22-SEP-2023,501370,189.90,185.50,0.0234,0.0415,0.0414,0.7909
22-SEP-2023,501386,4.09,3.90,0.0476,0.0323,0.0324,0.6190
22-SEP-2023,501391,350.45,350.60,-0.0004,0.0390,0.0389,0.7432
22-SEP-2023,501421,174.70,174.70,0.0000,0.0304,0.0303,0.5789
22-SEP-2023,501430,991.80,992.00,-0.0002,0.0283,0.0283,0.5407
