Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
24-APR-2023,20MICRONS,84.40,83.60,0.0095,0.0323,0.0323,0.6171
24-APR-2023,21STCENMGM,19.30,19.70,-0.0205,0.0168,0.0168,0.3210
24-APR-2023,360ONE,415.95,407.00,0.0218,0.0213,0.0213,0.4069
24-APR-2023,3IINFOLTD,32.55,33.20,-0.0198,0.0280,0.0279,0.5330
24-APR-2023,3MINDIA,22403.15,22348.70,0.0024,0.0170,0.0169,0.3229
24-APR-2023,3PLAND,23.90,24.10,-0.0083,0.0415,0.0414,0.7909
24-APR-2023,4THDIM,27.05,27.60,-0.0201,0.0180,0.0180,0.3439
24-APR-2023,500009,22.02,21.63,0.0179,0.0267,0.0267,0.5101
24-APR-2023,500012,63.23,62.72,0.0081,0.0297,0.0296,0.5655
24-APR-2023,500014,5.01,4.87,0.0283,0.0383,0.0383,0.7317
24-APR-2023,500016,15.00,12.51,0.1815,0.0340,0.0363,0.6935
24-APR-2023,500028,8.24,8.23,0.0012,0.0293,0.0292,0.5579
24-APR-2023,500058,8.95,9.42,-0.0512,0.0274,0.0276,0.5273
24-APR-2023,500068,7850.30,7910.00,-0.0076,0.0185,0.0185,0.3534
24-APR-2023,500069,231.00,230.60,0.0017,0.0285,0.0284,0.5426
24-APR-2023,500120,486.10,479.15,0.0144,0.0313,0.0312,0.5961
24-APR-2023,500123,5211.40,5312.10,-0.0191,0.0196,0.0196,0.3745
24-APR-2023,500142,5.40,6.00,-0.1054,0.0479,0.0483,0.9228
24-APR-2023,500143,66.85,68.49,-0.0242,0.0368,0.0368,0.7031
24-APR-2023,500147,1495.15,1510.25,-0.0100,0.0277,0.0276,0.5273
24-APR-2023,500159,80.54,82.90,-0.0289,0.0290,0.0290,0.5540
24-APR-2023,500166,171.10,178.50,-0.0423,0.0207,0.0209,0.3993
24-APR-2023,500170,34.15,32.76,0.0416,0.0367,0.0367,0.7012
24-APR-2023,500192,2.72,2.86,-0.0502,0.0320,0.0322,0.6152
24-APR-2023,500202,6.35,6.66,-0.0477,0.0308,0.0310,0.5923
24-APR-2023,500206,29.60,29.50,0.0034,0.0477,0.0476,0.9094
24-APR-2023,500213,298.10,268.10,0.1061,0.0350,0.0357,0.6820
24-APR-2023,500220,172.85,173.80,-0.0055,0.0361,0.0361,0.6897
24-APR-2023,500223,2.31,2.29,0.0087,0.0395,0.0394,0.7527
24-APR-2023,500236,1.73,1.65,0.0473,0.0347,0.0348,0.6649
24-APR-2023,500239,27.96,28.48,-0.0184,0.0333,0.0333,0.6362
24-APR-2023,500240,94.89,93.45,0.0153,0.0302,0.0301,0.5751
24-APR-2023,500246,79.00,77.31,0.0216,0.0388,0.0388,0.7413
24-APR-2023,500248,2.63,2.63,0.0000,0.0408,0.0407,0.7776
24-APR-2023,500264,50.84,48.08,0.0558,0.0334,0.0335,0.6400
24-APR-2023,500267,138.80,138.55,0.0018,0.0256,0.0255,0.4872
24-APR-2023,500270,192.25,202.35,-0.0512,0.0364,0.0365,0.6973
24-APR-2023,500277,11.23,11.82,-0.0512,0.0367,0.0368,0.7031
24-APR-2023,500284,199.65,205.75,-0.0301,0.0387,0.0386,0.7375
24-APR-2023,500298,1390.40,1363.35,0.0196,0.0235,0.0235,0.4490
24-APR-2023,500306,52.91,55.98,-0.0564,0.0323,0.0325,0.6209
24-APR-2023,500307,380.05,380.95,-0.0024,0.0190,0.0190,0.3630
24-APR-2023,500319,61.84,61.57,0.0044,0.0341,0.0340,0.6496
24-APR-2023,500346,28.16,29.44,-0.0445,0.0337,0.0337,0.6438
24-APR-2023,500357,19.45,19.45,0.0000,0.0347,0.0346,0.6610
24-APR-2023,500358,3.80,4.00,-0.0513,0.0370,0.0370,0.7069
24-APR-2023,500360,52.79,52.36,0.0082,0.0340,0.0339,0.6477
24-APR-2023,500365,19.73,19.84,-0.0056,0.0306,0.0305,0.5827
24-APR-2023,500367,69.38,68.34,0.0151,0.0264,0.0263,0.5025
