Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
27-JUN-2023,20MICRONS,93.55,90.75,0.0304,0.0313,0.0313,0.5980
27-JUN-2023,21STCENMGM,23.75,23.15,0.0256,0.0167,0.0167,0.3191
27-JUN-2023,360ONE,456.70,452.00,0.0103,0.0197,0.0197,0.3764
27-JUN-2023,3IINFOLTD,34.40,34.95,-0.0159,0.0272,0.0272,0.5197
27-JUN-2023,3MINDIA,27681.00,27508.80,0.0062,0.0168,0.0167,0.3191
27-JUN-2023,3PLAND,19.75,19.55,0.0102,0.0387,0.0386,0.7375
27-JUN-2023,4THDIM,18.25,18.60,-0.0190,0.0180,0.0180,0.3439
27-JUN-2023,500009,29.01,28.70,0.0107,0.0296,0.0295,0.5636
27-JUN-2023,500012,62.06,60.47,0.0260,0.0270,0.0270,0.5158
27-JUN-2023,500014,5.12,5.01,0.0217,0.0364,0.0363,0.6935
27-JUN-2023,500016,19.07,19.65,-0.0300,0.0373,0.0372,0.7107
27-JUN-2023,500028,9.41,9.49,-0.0085,0.0284,0.0283,0.5407
27-JUN-2023,500058,9.02,9.03,-0.0011,0.0261,0.0260,0.4967
27-JUN-2023,500068,10038.40,10139.50,-0.0100,0.0183,0.0183,0.3496
27-JUN-2023,500069,260.55,265.45,-0.0186,0.0273,0.0272,0.5197
27-JUN-2023,500120,642.50,639.15,0.0052,0.0315,0.0314,0.5999
27-JUN-2023,500123,6495.60,6376.80,0.0185,0.0198,0.0198,0.3783
27-JUN-2023,500142,5.40,5.99,-0.1037,0.0498,0.0503,0.9610
27-JUN-2023,500143,60.13,60.29,-0.0027,0.0360,0.0359,0.6859
27-JUN-2023,500147,2922.85,2721.55,0.0714,0.0329,0.0332,0.6343
27-JUN-2023,500159,90.39,91.50,-0.0122,0.0269,0.0269,0.5139
27-JUN-2023,500166,187.05,183.50,0.0192,0.0204,0.0204,0.3897
27-JUN-2023,500170,33.81,32.82,0.0297,0.0367,0.0366,0.6992
27-JUN-2023,500192,2.21,2.19,0.0091,0.0319,0.0318,0.6075
27-JUN-2023,500202,6.25,6.30,-0.0080,0.0308,0.0307,0.5865
27-JUN-2023,500206,34.45,33.09,0.0403,0.0465,0.0465,0.8884
27-JUN-2023,500213,287.70,291.10,-0.0117,0.0337,0.0336,0.6419
27-JUN-2023,500220,165.45,164.80,0.0039,0.0354,0.0353,0.6744
27-JUN-2023,500223,2.08,2.06,0.0097,0.0365,0.0364,0.6954
27-JUN-2023,500236,1.41,1.45,-0.0280,0.0349,0.0349,0.6668
27-JUN-2023,500239,28.69,27.40,0.0460,0.0318,0.0319,0.6094
27-JUN-2023,500240,112.30,110.50,0.0162,0.0293,0.0293,0.5598
27-JUN-2023,500246,67.00,64.10,0.0442,0.0380,0.0381,0.7279
27-JUN-2023,500248,3.55,3.40,0.0432,0.0388,0.0389,0.7432
