Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
27-MAY-2022,20MICRONS,77.55,77.10,0.0058,0.0390,0.0389,0.7432
27-MAY-2022,21STCENMGM,24.70,25.20,-0.0200,0.0195,0.0195,0.3725
27-MAY-2022,3IINFOLTD,47.05,45.65,0.0302,0.0287,0.0287,0.5483
27-MAY-2022,3MINDIA,17566.60,17458.95,0.0061,0.0181,0.0181,0.3458
27-MAY-2022,3PLAND,14.35,13.90,0.0319,0.0426,0.0426,0.8139
27-MAY-2022,500009,31.00,30.75,0.0081,0.0366,0.0365,0.6973
27-MAY-2022,500012,88.40,87.55,0.0097,0.0333,0.0332,0.6343
27-MAY-2022,500014,5.06,4.83,0.0465,0.0459,0.0459,0.8769
27-MAY-2022,500016,10.91,11.20,-0.0262,0.0350,0.0350,0.6687
27-MAY-2022,500028,8.29,8.07,0.0269,0.0332,0.0332,0.6343
27-MAY-2022,500058,10.04,9.57,0.0479,0.0320,0.0321,0.6133
27-MAY-2022,500068,6198.15,6048.50,0.0244,0.0262,0.0262,0.5006
27-MAY-2022,500069,252.30,258.40,-0.0239,0.0370,0.0370,0.7069
27-MAY-2022,500120,295.95,291.90,0.0138,0.0320,0.0319,0.6094
27-MAY-2022,500123,3942.35,3905.00,0.0095,0.0217,0.0217,0.4146
27-MAY-2022,500142,6.55,6.07,0.0761,0.0346,0.0349,0.6668
27-MAY-2022,500143,71.15,77.60,-0.0868,0.0404,0.0408,0.7795
27-MAY-2022,500147,1188.00,1202.00,-0.0117,0.0359,0.0358,0.6840
27-MAY-2022,500159,80.95,79.90,0.0131,0.0387,0.0386,0.7375
27-MAY-2022,500166,208.80,209.85,-0.0050,0.0262,0.0261,0.4986
27-MAY-2022,500170,49.95,47.60,0.0482,0.0390,0.0390,0.7451
27-MAY-2022,500192,2.60,2.60,0.0000,0.0350,0.0349,0.6668
27-MAY-2022,500202,6.60,6.49,0.0168,0.0186,0.0186,0.3554
27-MAY-2022,500206,26.85,24.65,0.0855,0.0384,0.0388,0.7413
27-MAY-2022,500211,6.51,6.75,-0.0362,0.0373,0.0373,0.7126
27-MAY-2022,500213,108.65,110.10,-0.0133,0.0351,0.0350,0.6687
27-MAY-2022,500220,161.25,155.85,0.0341,0.0383,0.0383,0.7317
27-MAY-2022,500223,3.13,3.05,0.0259,0.0387,0.0386,0.7375
27-MAY-2022,500236,2.65,2.78,-0.0479,0.0385,0.0386,0.7375
27-MAY-2022,500239,42.10,40.15,0.0474,0.0351,0.0352,0.6725
27-MAY-2022,500240,80.65,78.50,0.0270,0.0292,0.0292,0.5579
27-MAY-2022,500246,28.80,28.45,0.0122,0.0378,0.0377,0.7203
27-MAY-2022,500248,7.15,7.15,0.0000,0.0490,0.0488,0.9323
27-MAY-2022,500264,181.00,178.00,0.0167,0.0348,0.0348,0.6649
27-MAY-2022,500267,125.00,126.75,-0.0139,0.0286,0.0286,0.5464
27-MAY-2022,500277,36.10,38.00,-0.0513,0.0313,0.0314,0.5999
27-MAY-2022,500284,107.50,113.15,-0.0512,0.0363,0.0364,0.6954
27-MAY-2022,500298,1447.50,1430.80,0.0116,0.0273,0.0272,0.5197
27-MAY-2022,500306,61.35,62.00,-0.0105,0.0378,0.0377,0.7203
27-MAY-2022,500307,388.90,377.55,0.0296,0.0222,0.0222,0.4241
27-MAY-2022,500319,59.95,59.10,0.0143,0.0431,0.0431,0.8234
27-MAY-2022,500346,35.50,35.05,0.0128,0.0408,0.0407,0.7776
27-MAY-2022,500357,21.00,20.85,0.0072,0.0339,0.0338,0.6457
27-MAY-2022,500360,58.10,61.00,-0.0487,0.0362,0.0363,0.6935
27-MAY-2022,500365,15.80,16.30,-0.0312,0.0429,0.0428,0.8177
27-MAY-2022,500367,79.90,80.00,-0.0013,0.0293,0.0292,0.5579
27-MAY-2022,500370,41.70,42.00,-0.0072,0.0357,0.0356,0.6801
27-MAY-2022,500388,23.65,24.10,-0.0188,0.0297,0.0297,0.5674
27-MAY-2022,500414,64.75,65.30,-0.0085,0.0386,0.0385,0.7355
27-MAY-2022,500422,20.10,19.95,0.0075,0.0436,0.0435,0.8311
27-MAY-2022,500426,4.08,4.08,0.0000,0.0394,0.0393,0.7508
27-MAY-2022,500449,31.15,27.75,0.1156,0.0362,0.0371,0.7088
27-MAY-2022,500450,211.55,211.55,0.0000,0.0197,0.0197,0.3764
27-MAY-2022,500458,3.27,3.12,0.0470,0.0327,0.0328,0.6266
27-MAY-2022,501110,6.81,6.81,0.0000,0.0041,0.0041,0.0783
27-MAY-2022,501111,11.02,11.02,0.0000,0.0049,0.0049,0.0936
27-MAY-2022,501144,13.35,13.35,0.0000,0.0030,0.0030,0.0573
27-MAY-2022,501148,255.00,260.00,-0.0194,0.0164,0.0164,0.3133
27-MAY-2022,501261,280.00,280.00,0.0000,0.0008,0.0008,0.0153
27-MAY-2022,501270,1.34,1.34,0.0000,0.0079,0.0079,0.1509
27-MAY-2022,501298,1488.00,1415.00,0.0503,0.0224,0.0226,0.4318
27-MAY-2022,501311,8.00,8.00,0.0000,0.0273,0.0272,0.5197
27-MAY-2022,501314,4.43,4.83,-0.0864,0.1623,0.1620,3.0950
27-MAY-2022,501370,137.50,137.00,0.0036,0.0458,0.0457,0.8731
27-MAY-2022,501386,5.08,5.08,0.0000,0.0130,0.0129,0.2465
27-MAY-2022,501391,206.85,206.85,0.0000,0.0388,0.0387,0.7394
27-MAY-2022,501430,599.85,600.00,-0.0003,0.0283,0.0282,0.5388
27-MAY-2022,501477,114.45,120.45,-0.0511,0.0300,0.0301,0.5751
27-MAY-2022,501622,54.70,52.10,0.0487,0.0333,0.0334,0.6381
27-MAY-2022,501630,19.20,19.20,0.0000,0.0030,0.0029,0.0554
27-MAY-2022,501700,60.05,61.95,-0.0312,0.0403,0.0403,0.7699
27-MAY-2022,501833,11.39,10.86,0.0476,0.0347,0.0347,0.6629
27-MAY-2022,501848,39.90,40.25,-0.0087,0.0403,0.0402,0.7680
27-MAY-2022,502015,13.75,13.50,0.0183,0.0368,0.0367,0.7012
27-MAY-2022,502175,58.25,56.90,0.0234,0.0309,0.0309,0.5903
27-MAY-2022,502250,150.00,150.00,0.0000,0.0205,0.0205,0.3917
27-MAY-2022,502271,13.05,13.70,-0.0486,0.0345,0.0346,0.6610
27-MAY-2022,502281,21.65,20.95,0.0329,0.0459,0.0458,0.8750
27-MAY-2022,502294,33.30,34.70,-0.0412,0.0328,0.0329,0.6286
27-MAY-2022,502445,15.20,14.00,0.0822,0.0418,0.0421,0.8043
27-MAY-2022,502563,3.60,3.60,0.0000,0.0289,0.0289,0.5521
