Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
06-APR-2022,20MICRONS,87.50,85.75,0.0202,0.0330,0.0329,0.6286
06-APR-2022,21STCENMGM,30.20,29.70,0.0167,0.0203,0.0202,0.3859
06-APR-2022,3IINFOLTD,62.20,59.30,0.0477,0.0231,0.0233,0.4451
06-APR-2022,3MINDIA,21521.95,21284.80,0.0111,0.0185,0.0185,0.3534
06-APR-2022,3PLAND,17.30,16.50,0.0473,0.0468,0.0468,0.8941
06-APR-2022,500009,37.00,37.30,-0.0081,0.0366,0.0365,0.6973
06-APR-2022,500012,112.00,106.70,0.0485,0.0333,0.0334,0.6381
06-APR-2022,500014,6.17,6.23,-0.0097,0.0458,0.0457,0.8731
06-APR-2022,500016,10.52,10.51,0.0010,0.0000,0.0001,0.0019
06-APR-2022,500028,11.30,10.82,0.0434,0.0331,0.0332,0.6343
06-APR-2022,500058,11.25,11.24,0.0009,0.0324,0.0323,0.6171
06-APR-2022,500068,7045.10,7013.65,0.0045,0.0232,0.0232,0.4432
06-APR-2022,500069,260.50,264.15,-0.0139,0.0314,0.0313,0.5980
06-APR-2022,500120,296.35,301.85,-0.0184,0.0315,0.0314,0.5999
06-APR-2022,500123,3558.80,3566.85,-0.0023,0.0248,0.0247,0.4719
06-APR-2022,500142,8.72,8.63,0.0104,0.0262,0.0262,0.5006
06-APR-2022,500143,109.60,111.80,-0.0199,0.0365,0.0365,0.6973
06-APR-2022,500147,1591.55,1599.15,-0.0048,0.0355,0.0354,0.6763
06-APR-2022,500159,81.60,80.65,0.0117,0.0360,0.0359,0.6859
06-APR-2022,500166,221.70,211.15,0.0488,0.0280,0.0282,0.5388
06-APR-2022,500170,53.10,51.45,0.0316,0.0390,0.0390,0.7451
06-APR-2022,500192,3.14,3.14,0.0000,0.0338,0.0337,0.6438
06-APR-2022,500206,28.95,27.80,0.0405,0.0376,0.0376,0.7183
06-APR-2022,500211,7.58,7.26,0.0431,0.0392,0.0392,0.7489
06-APR-2022,500213,122.25,121.25,0.0082,0.0327,0.0326,0.6228
06-APR-2022,500220,174.00,181.00,-0.0394,0.0355,0.0356,0.6801
06-APR-2022,500223,4.71,4.67,0.0085,0.0399,0.0398,0.7604
06-APR-2022,500236,3.80,3.62,0.0485,0.0360,0.0361,0.6897
06-APR-2022,500239,46.90,46.80,0.0021,0.0350,0.0349,0.6668
06-APR-2022,500240,89.30,91.85,-0.0282,0.0305,0.0305,0.5827
06-APR-2022,500246,24.80,23.35,0.0602,0.0326,0.0328,0.6266
06-APR-2022,500248,7.29,6.95,0.0478,0.0566,0.0566,1.0813
06-APR-2022,500264,194.75,193.20,0.0080,0.0355,0.0354,0.6763
