Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
09-NOV-2022,20MICRONS,94.25,92.45,0.0193,0.0364,0.0363,0.6935
09-NOV-2022,21STCENMGM,23.15,23.10,0.0022,0.0178,0.0178,0.3401
09-NOV-2022,3IINFOLTD,42.60,43.70,-0.0255,0.0276,0.0276,0.5273
09-NOV-2022,3MINDIA,23483.45,22401.50,0.0472,0.0186,0.0189,0.3611
09-NOV-2022,3PLAND,17.80,17.50,0.0170,0.0377,0.0376,0.7183
09-NOV-2022,4THDIM,88.40,86.70,0.0194,0.0191,0.0191,0.3649
09-NOV-2022,500009,29.60,29.80,-0.0067,0.0313,0.0312,0.5961
09-NOV-2022,500012,81.85,86.20,-0.0518,0.0290,0.0292,0.5579
09-NOV-2022,500014,8.19,8.22,-0.0037,0.0442,0.0441,0.8425
09-NOV-2022,500016,15.95,15.95,0.0000,0.0335,0.0334,0.6381
09-NOV-2022,500028,10.39,10.23,0.0155,0.0306,0.0306,0.5846
09-NOV-2022,500058,8.87,8.73,0.0159,0.0284,0.0284,0.5426
09-NOV-2022,500068,8042.05,8028.70,0.0017,0.0222,0.0222,0.4241
09-NOV-2022,500069,227.25,227.70,-0.0020,0.0314,0.0313,0.5980
09-NOV-2022,500120,454.75,433.10,0.0488,0.0330,0.0331,0.6324
09-NOV-2022,500123,4191.35,4123.45,0.0163,0.0203,0.0203,0.3878
09-NOV-2022,500142,7.43,7.64,-0.0279,0.0426,0.0425,0.8120
09-NOV-2022,500143,78.70,77.30,0.0179,0.0373,0.0373,0.7126
09-NOV-2022,500147,1164.30,1173.65,-0.0080,0.0317,0.0316,0.6037
09-NOV-2022,500159,86.85,87.50,-0.0075,0.0328,0.0327,0.6247
09-NOV-2022,500166,203.30,204.40,-0.0054,0.0227,0.0227,0.4337
09-NOV-2022,500170,60.60,59.75,0.0141,0.0384,0.0384,0.7336
09-NOV-2022,500192,2.58,2.56,0.0078,0.0320,0.0319,0.6094
09-NOV-2022,500202,5.98,5.76,0.0375,0.0278,0.0278,0.5311
09-NOV-2022,500206,24.05,24.10,-0.0021,0.0446,0.0445,0.8502
09-NOV-2022,500213,213.00,212.65,0.0016,0.0378,0.0377,0.7203
09-NOV-2022,500220,217.60,214.30,0.0153,0.0375,0.0374,0.7145
09-NOV-2022,500223,3.12,3.12,0.0000,0.0346,0.0346,0.6610
09-NOV-2022,500236,2.69,2.74,-0.0184,0.0367,0.0366,0.6992
09-NOV-2022,500239,32.95,34.35,-0.0416,0.0331,0.0331,0.6324
09-NOV-2022,500240,123.05,123.90,-0.0069,0.0337,0.0336,0.6419
09-NOV-2022,500246,43.90,41.90,0.0466,0.0383,0.0383,0.7317
09-NOV-2022,500248,4.32,4.12,0.0474,0.0433,0.0434,0.8292
09-NOV-2022,500264,369.60,359.95,0.0265,0.0342,0.0342,0.6534
09-NOV-2022,500267,129.95,130.10,-0.0012,0.0259,0.0258,0.4929
09-NOV-2022,500270,356.40,339.45,0.0487,0.0309,0.0310,0.5923
09-NOV-2022,500277,13.00,13.06,-0.0046,0.0339,0.0338,0.6457
09-NOV-2022,500284,272.90,259.95,0.0486,0.0396,0.0396,0.7566
09-NOV-2022,500298,1629.20,1634.45,-0.0032,0.0248,0.0247,0.4719
09-NOV-2022,500306,57.10,57.30,-0.0035,0.0330,0.0330,0.6305
09-NOV-2022,500307,372.55,370.00,0.0069,0.0189,0.0189,0.3611
09-NOV-2022,500319,61.90,63.75,-0.0294,0.0386,0.0386,0.7375
09-NOV-2022,500346,33.20,32.80,0.0121,0.0347,0.0347,0.6629
