Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
17-NOV-2020,20MICRONS,31.25,31.00,0.0080,0.0301,0.0300,0.5731
17-NOV-2020,21STCENMGM,9.72,9.85,-0.0133,0.0240,0.0239,0.4566
17-NOV-2020,3IINFOTECH,3.29,3.20,0.0277,0.0396,0.0396,0.7566
17-NOV-2020,3MINDIA,21195.00,20497.70,0.0335,0.0219,0.0220,0.4203
17-NOV-2020,3PLAND,7.35,7.00,0.0488,0.0700,0.0699,1.3354
17-NOV-2020,500009,22.00,23.10,-0.0488,0.0385,0.0385,0.7355
17-NOV-2020,500012,33.00,31.45,0.0481,0.0360,0.0360,0.6878
17-NOV-2020,500014,1.01,0.92,0.0933,0.0419,0.0423,0.8081
17-NOV-2020,500016,5.50,5.50,0.0000,0.0334,0.0333,0.6362
17-NOV-2020,500028,4.13,3.94,0.0471,0.0360,0.0361,0.6897
17-NOV-2020,500058,1.44,1.42,0.0140,0.0306,0.0306,0.5846
17-NOV-2020,500068,3582.25,3650.10,-0.0188,0.0267,0.0266,0.5082
17-NOV-2020,500069,73.00,71.45,0.0215,0.0346,0.0345,0.6591
17-NOV-2020,500120,359.55,356.25,0.0092,0.0404,0.0403,0.7699
17-NOV-2020,500123,2441.10,2456.10,-0.0061,0.0380,0.0379,0.7241
17-NOV-2020,500142,0.92,0.92,0.0000,0.0259,0.0258,0.4929
17-NOV-2020,500143,12.61,12.01,0.0488,0.0220,0.0222,0.4241
17-NOV-2020,500147,727.60,742.60,-0.0204,0.0375,0.0374,0.7145
17-NOV-2020,500153,65.30,67.50,-0.0331,0.0338,0.0338,0.6457
17-NOV-2020,500159,45.65,45.45,0.0044,0.0440,0.0439,0.8387
17-NOV-2020,500166,267.15,272.90,-0.0213,0.0316,0.0316,0.6037
17-NOV-2020,500192,1.90,1.90,0.0000,0.0294,0.0293,0.5598
17-NOV-2020,500202,7.71,7.35,0.0478,0.0233,0.0235,0.4490
17-NOV-2020,500206,9.82,10.33,-0.0506,0.0245,0.0247,0.4719
17-NOV-2020,500211,6.98,6.79,0.0276,0.0374,0.0374,0.7145
17-NOV-2020,500212,29.50,29.50,0.0000,0.0224,0.0224,0.4280
17-NOV-2020,500213,52.70,53.90,-0.0225,0.0330,0.0330,0.6305
17-NOV-2020,500214,777.05,764.70,0.0160,0.0280,0.0279,0.5330
17-NOV-2020,500220,34.00,34.15,-0.0044,0.0389,0.0388,0.7413
17-NOV-2020,500223,0.80,0.80,0.0000,0.0371,0.0371,0.7088
17-NOV-2020,500236,0.28,0.28,0.0000,0.0229,0.0228,0.4356
17-NOV-2020,500239,20.35,20.40,-0.0025,0.0329,0.0329,0.6286
17-NOV-2020,500240,21.70,20.80,0.0424,0.0356,0.0356,0.6801
17-NOV-2020,500246,25.65,27.00,-0.0513,0.0301,0.0302,0.5770
17-NOV-2020,500248,3.11,3.11,0.0000,0.1012,0.1010,1.9296
17-NOV-2020,500264,86.65,83.55,0.0364,0.0334,0.0334,0.6381
17-NOV-2020,500267,92.50,90.00,0.0274,0.0362,0.0361,0.6897
17-NOV-2020,500274,7.40,7.40,0.0000,0.0623,0.0621,1.1864
17-NOV-2020,500277,0.88,0.88,0.0000,0.0107,0.0106,0.2025
17-NOV-2020,500284,29.55,30.65,-0.0365,0.0356,0.0356,0.6801
17-NOV-2020,500298,1967.30,1977.65,-0.0052,0.0369,0.0369,0.7050
17-NOV-2020,500306,4.09,3.93,0.0399,0.0493,0.0493,0.9419
17-NOV-2020,500307,241.60,242.60,-0.0041,0.0184,0.0184,0.3515
17-NOV-2020,500319,21.15,21.50,-0.0164,0.0411,0.0410,0.7833
17-NOV-2020,500333,204.15,199.90,0.0210,0.0352,0.0352,0.6725
17-NOV-2020,500346,26.70,27.20,-0.0186,0.0440,0.0439,0.8387
17-NOV-2020,500357,9.00,8.90,0.0112,0.0362,0.0361,0.6897
17-NOV-2020,500358,3.68,3.87,-0.0503,0.0230,0.0232,0.4432
17-NOV-2020,500360,22.00,22.05,-0.0023,0.0383,0.0382,0.7298
17-NOV-2020,500365,9.05,8.79,0.0292,0.0397,0.0397,0.7585
17-NOV-2020,500367,52.30,47.45,0.0973,0.0339,0.0345,0.6591
17-NOV-2020,500370,17.50,18.10,-0.0337,0.0305,0.0306,0.5846
17-NOV-2020,500388,21.75,21.75,0.0000,0.0135,0.0134,0.2560
17-NOV-2020,500399,2.28,2.28,0.0000,0.0261,0.0260,0.4967
17-NOV-2020,500414,26.55,25.45,0.0423,0.0369,0.0370,0.7069
17-NOV-2020,500422,11.81,11.87,-0.0051,0.0385,0.0384,0.7336
17-NOV-2020,500426,7.41,7.66,-0.0332,0.0330,0.0330,0.6305
17-NOV-2020,500449,14.76,15.07,-0.0208,0.0414,0.0414,0.7909
17-NOV-2020,500450,230.50,230.50,0.0000,0.0221,0.0221,0.4222
17-NOV-2020,500456,9.19,9.45,-0.0279,0.0388,0.0387,0.7394
17-NOV-2020,500458,1.35,1.35,0.0000,0.0251,0.0250,0.4776
17-NOV-2020,500655,307.65,309.90,-0.0073,0.0281,0.0281,0.5368
17-NOV-2020,501110,6.07,6.07,0.0000,0.0000,0.0000,0.0000
17-NOV-2020,501144,11.00,11.00,0.0000,0.0000,0.0000,0.0000
17-NOV-2020,501148,205.60,205.60,0.0000,0.0180,0.0179,0.3420
17-NOV-2020,501151,636.05,636.05,0.0000,0.0071,0.0071,0.1356
17-NOV-2020,501261,280.55,280.55,0.0000,0.0021,0.0021,0.0401
