Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
22-APR-2020,20MICRONS,29.65,30.20,-0.0184,0.0661,0.0642,1.2265
22-APR-2020,21STCENMGM,11.11,11.26,-0.0134,0.0231,0.0226,0.4318
22-APR-2020,3IINFOTECH,1.75,1.80,-0.0282,0.0832,0.0810,1.5475
22-APR-2020,3MINDIA,18719.70,19409.60,-0.0362,0.0375,0.0374,0.7145
22-APR-2020,3PLAND,5.80,5.55,0.0441,0.1451,0.1411,2.6957
22-APR-2020,500009,18.95,19.90,-0.0489,0.0412,0.0417,0.7967
22-APR-2020,500012,24.70,24.90,-0.0081,0.0402,0.0390,0.7451
22-APR-2020,500014,1.10,1.06,0.0370,0.0340,0.0342,0.6534
22-APR-2020,500016,6.10,6.10,0.0000,0.0350,0.0339,0.6477
22-APR-2020,500028,3.78,3.60,0.0488,0.0354,0.0363,0.6935
22-APR-2020,500058,0.36,0.35,0.0282,0.0236,0.0239,0.4566
22-APR-2020,500068,3500.00,3551.60,-0.0146,0.0537,0.0522,0.9973
22-APR-2020,500069,50.65,51.40,-0.0147,0.0308,0.0301,0.5751
22-APR-2020,500120,184.20,171.05,0.0741,0.0560,0.0572,1.0928
22-APR-2020,500123,2287.00,2309.60,-0.0098,0.0463,0.0450,0.8597
22-APR-2020,500142,1.52,1.52,0.0000,0.0196,0.0190,0.3630
22-APR-2020,500143,18.90,18.90,0.0000,0.0231,0.0224,0.4280
22-APR-2020,500147,492.60,496.10,-0.0071,0.0576,0.0559,1.0680
22-APR-2020,500153,29.10,27.15,0.0694,0.0460,0.0477,0.9113
22-APR-2020,500159,36.00,34.90,0.0310,0.0566,0.0554,1.0584
22-APR-2020,500166,138.25,140.75,-0.0179,0.0568,0.0552,1.0546
22-APR-2020,500168,719.75,689.35,0.0432,0.0520,0.0515,0.9839
22-APR-2020,500192,2.50,2.43,0.0284,0.0360,0.0356,0.6801
22-APR-2020,500202,6.50,6.50,0.0000,0.0060,0.0058,0.1108
22-APR-2020,500206,6.20,6.50,-0.0473,0.0061,0.0130,0.2484
22-APR-2020,500211,7.87,8.18,-0.0386,0.0557,0.0548,1.0470
22-APR-2020,500212,23.00,23.00,0.0000,0.0103,0.0100,0.1910
22-APR-2020,500213,47.40,48.10,-0.0147,0.0564,0.0548,1.0470
22-APR-2020,500214,655.50,643.70,0.0182,0.0494,0.0481,0.9189
22-APR-2020,500220,21.80,22.00,-0.0091,0.0519,0.0504,0.9629
22-APR-2020,500223,0.94,0.90,0.0435,0.0732,0.0718,1.3717
22-APR-2020,500236,0.27,0.27,0.0000,0.0212,0.0206,0.3936
